Country,Literacy rate (all),Male literacy,Female literacy,Gender difference,Year,Notes,Country Name,Country Code,undernourished rate in (2019),IncomeGroup,GDP per capita (2019)
Afghanistan,37.3,52.1,22.6,29.5,1/01/2021,,Afghanistan,AFG,26.9,Low income,497.74
Albania,98.1,98.5,97.8,0.7,1/01/2018,,Albania,ALB,4.1,Upper middle income,5396.21
Algeria,81.4,87.4,75.3,12.1,1/01/2018,,Algeria,DZA,2.5,Upper middle income,4530.1
Andorra,100.0,100.0,100.0,0.0,1/01/2016,,Andorra,AND,,High income,41328.6
Angola,71.1,82.0,60.7,21.3,1/01/2015,,Angola,AGO,17.5,Lower middle income,2191.35
Antigua and Barbuda,99.0,98.4,99.4,1.0,1/01/2015,,Antigua and Barbuda,ATG,,High income,18730.0
Argentina,99.0,98.9,99.1,0.2,1/01/2018,,Argentina,ARG,3.4,Upper middle income,9963.67
Armenia,99.8,99.8,99.7,0.1,1/01/2020,,Armenia,ARM,2.5,Upper middle income,4828.5
Australia,99.0,,,,,,Australia,AUS,2.5,High income,55049.57
Austria,98.0,,,,,,Austria,AUT,2.5,High income,50067.59
Azerbaijan,99.8,99.9,99.7,0.2,1/01/2019,,Azerbaijan,AZE,2.5,Upper middle income,4805.75
Bahrain,97.5,99.9,94.9,5.0,1/01/2018,,Bahrain,BHR,,High income,25869.11
Bangladesh,74.66,76.56,72.82,3.72,1/01/2022,,Bangladesh,BGD,11.8,Lower middle income,2122.04
Barbados,99.6,99.6,99.6,0.0,1/01/2014,,Barbados,BRB,2.5,High income,19156.04
Belarus,99.9,99.9,99.9,0.0,1/01/2019,,Belarus,BLR,2.5,Upper middle income,6837.77
Belgium,99.0,,,,,,Belgium,BEL,2.5,High income,46641.72
Belize,83.0,,,,,,Belize,BLZ,4.8,Upper middle income,6134.22
Benin,42.4,54.0,31.1,22.9,1/01/2018,,Benin,BEN,10.6,Lower middle income,1170.89
Bhutan,66.6,75.0,57.1,17.9,1/01/2017,,Bhutan,BTN,,Lower middle income,3564.6
Bolivia,92.5,96.5,88.6,7.9,1/01/2015,,Bolivia,BOL,13.7,Lower middle income,3472.38
Bosnia and Herzegovina,98.5,99.5,97.5,2.0,1/01/2015,,Bosnia and Herzegovina,BIH,2.5,Upper middle income,6094.72
Botswana,88.5,88.0,88.9,0.9,1/01/2015,,Botswana,BWA,26.4,Upper middle income,6691.16
Brazil,93.2,93.0,93.4,0.4,1/01/2018,,Brazil,BRA,2.5,Upper middle income,8845.32
Bulgaria,98.4,98.7,98.1,0.6,1/01/2015,,Bulgaria,BGR,2.7,High income,9874.34
Burkina Faso,39.3,49.2,31.0,18.2,1/01/2018,,Burkina Faso,BFA,14.6,Low income,765.23
Burundi,68.4,76.3,61.2,15.1,1/01/2017,,Burundi,BDI,,Low income,216.97
Cambodia,80.5,86.5,75.0,11.5,1/01/2015,,Cambodia,KHM,4.3,Lower middle income,1671.39
Cameroon,77.1,82.6,71.6,11.0,1/01/2018,,Cameroon,CMR,5.8,Lower middle income,1538.56
Canada,99.0,,,,,,Canada,CAN,2.5,High income,46352.87
Central African Republic,37.4,49.5,25.8,23.7,1/01/2018,,Central African Republic,CAF,44.8,Low income,426.41
Chad,22.3,31.3,14.0,17.3,1/01/2016,,Chad,TCD,28.1,Low income,701.62
Chile,96.3,96.3,96.3,0.0,1/01/2017,,Chile,CHL,2.6,High income,14616.21
China,96.8,98.5,95.2,3.3,1/01/2018,,China,CHN,2.5,Upper middle income,10143.86
Colombia,95.6,95.4,95.9,0.5,1/01/2020,,Colombia,COL,5.4,Upper middle income,6436.51
Comoros,58.8,64.6,53.0,11.6,1/01/2018,,Comoros,COM,11.6,Lower middle income,1510.8
Costa Rica,97.9,97.8,97.9,0.1,1/01/2018,,Costa Rica,CRI,3.1,Upper middle income,12669.34
Croatia,99.3,99.7,98.9,0.8,1/01/2015,,Croatia,HRV,2.5,High income,15218.53
Cuba,99.8,99.9,99.8,0.1,1/01/2015,,Cuba,CUB,2.5,Upper middle income,9139.38
Cyprus,99.1,99.5,98.7,0.8,1/01/2015,,Cyprus,CYP,2.5,High income,29419.99
Denmark,99.0,,,,,,Denmark,DNK,2.5,High income,59592.98
Djibouti,,,,,,,Djibouti,DJI,19.0,Lower middle income,2876.04
Dominica,92.0,,,,,,Dominica,DMA,6.8,Upper middle income,8561.59
Dominican Republic,93.8,93.8,93.8,0.0,1/01/2016,,Dominican Republic,DOM,6.3,Upper middle income,8173.34
Ecuador,93.6,94.8,92.5,2.3,1/01/2020,,Ecuador,ECU,13.4,Upper middle income,6203.73
Egypt,71.2,76.5,65.5,11.0,1/01/2017,,Egypt,EGY,6.3,Lower middle income,3017.26
El Salvador,89.1,91.3,87.3,4.0,1/01/2019,,El Salvador,SLV,7.2,Upper middle income,4280.29
Equatorial Guinea,95.3,97.4,93.0,4.4,1/01/2015,,Equatorial Guinea,GNQ,,Upper middle income,7317.39
Eritrea,76.6,84.4,68.9,15.5,1/01/2018,,Eritrea,ERI,,Low income,
Estonia,99.8,99.8,99.8,0.0,1/01/2015,,Estonia,EST,2.5,High income,23581.66
Ethiopia,51.8,57.2,44.4,12.8,1/01/2017,,Ethiopia,ETH,20.7,Low income,840.45
Fiji,99.1,99.1,99.1,0.0,1/01/2018,,Fiji,FJI,5.7,Upper middle income,5927.72
Finland,100.0,,,,,,Finland,FIN,2.5,High income,48629.86
France,99.0,,,,,,France,FRA,2.5,High income,40494.9
Gabon,84.7,85.9,83.4,2.5,1/01/2018,,Gabon,GAB,20.9,Upper middle income,7523.86
Georgia,99.6,99.7,99.5,0.2,1/01/2019,,Georgia,GEO,3.1,Upper middle income,4741.28
Germany,99.0,,,,,,Germany,DEU,2.5,High income,46805.14
Ghana,79.0,83.5,74.5,9.0,1/01/2018,,Ghana,GHA,5.7,Lower middle income,2167.93
Greece,97.9,98.5,97.4,1.1,1/01/2018,,Greece,GRC,2.5,High income,19143.89
Grenada,98.6,98.6,98.6,0.0,1/01/2014,,Grenada,GRD,,Upper middle income,9887.92
Guatemala,80.8,85.3,76.7,8.6,1/01/2018,,Guatemala,GTM,14.1,Upper middle income,4647.81
Guinea,39.6,54.4,27.7,26.7,1/01/2018,,Guinea,GIN,12.5,Lower middle income,1043.9
Guinea-Bissau,59.9,71.8,48.3,23.5,1/01/2015,,Guinea-Bissau,GNB,35.3,Low income,754.38
Guyana,88.5,87.2,89.8,2.6,1/01/2015,,Guyana,GUY,3.6,High income,6477.3
Haiti,61.7,65.3,58.3,7.0,1/01/2016,,Haiti,HTI,43.6,Lower middle income,1345.48
Honduras,88.5,88.2,88.7,0.5,1/01/2019,,Honduras,HND,14.5,Lower middle income,2498.51
Hungary,99.1,99.1,99.0,0.1,1/01/2015,,Hungary,HUN,2.5,High income,16786.21
Iceland,99.0,,,,,,Iceland,ISL,2.5,High income,68452.24
India,74.4,82.4,65.8,16.6,1/01/2018,,India,IND,14.4,Lower middle income,2050.16
Indonesia,96.0,97.4,94.6,2.8,1/01/2020,,Indonesia,IDN,6.0,Upper middle income,4151.23
Iraq,85.6,91.2,79.9,11.3,1/01/2017,,Iraq,IRQ,16.9,Upper middle income,5621.18
Ireland,99.0,,,,,,Ireland,IRL,2.5,High income,80848.3
Israel,97.8,98.7,96.8,1.9,1/01/2011,,Israel,ISR,2.5,High income,44452.23
Italy,99.2,99.4,99.0,0.4,1/01/2018,,Italy,ITA,2.5,High income,33673.75
Jamaica,88.7,84.0,93.1,9.1,1/01/2015,,Jamaica,JAM,6.6,Upper middle income,5626.17
Japan,99.0,,,,,,Japan,JPN,2.5,High income,40415.96
