Country Name,Country Code,Indicator Name,Indicator Code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,20911.19,21375.27,22050.59,24105.52,24978.22,25832.93,27665.3,29011.64,25740.77,24452.59,26043.16,25611.18,26514.87,26940.26,28419.26,28449.71,29329.08,30918.48,31902.81,24008.13,29127.76,33300.84,
Africa Eastern and Southern,AFE,GDP per capita (current US$),NY.GDP.PCAP.CD,633.47,633.52,819.99,994.19,1130.17,1235.85,1379.75,1439.24,1404.54,1622.68,1758,1724.2,1696.36,1678.55,1498.81,1346.3,1485.75,1558.61,1508.49,1356.09,1545.96,1642.43,1672.51
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,142.9,182.17,199.64,221.83,254.12,274.02,376.32,382.53,453.39,562.5,608.74,653.42,638.73,626.51,566.88,523.05,526.14,492.09,497.74,512.06,355.78,352.6,
Africa Western and Central,AFW,GDP per capita (current US$),NY.GDP.PCAP.CD,539.23,627.1,706.48,850.08,1008.34,1246.35,1421.44,1685.81,1467.79,1680.14,1861.54,1958.08,2154.32,2248.52,1882.52,1648.92,1590.56,1735.45,1813.61,1688.47,1769.17,1788.88,1584.33
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,527.46,872.66,982.81,1254.7,1900.72,2597.96,3121.35,4081.72,3123.7,3586.66,4608.16,5083.83,5061.35,5011.98,3217.34,1809.71,2439.37,2540.51,2191.35,1450.91,1927.47,2933.48,2309.52
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,1281.66,1425.12,1846.12,2373.58,2673.79,2972.74,3595.04,4370.54,4114.13,4094.35,4437.14,4247.63,4413.06,4578.63,3952.8,4124.06,4531.03,5287.66,5396.21,5343.04,6377.2,6810.11,8367.78
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,22829.04,24901.97,32025.95,37698.33,39599.68,43122.6,50629.74,53938.85,49950.93,48237.89,51428.2,44902.38,44747.75,45680.53,38885.53,39931.22,40632.23,42904.83,41328.6,37207.22,42066.49,42350.7,46544.72
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,2527.92,2478.93,2697.49,3140.31,3760.92,4362.93,4943.51,6084.79,5123.71,5911.33,6874.84,7344.63,7344.23,7300.6,6258.61,6022.88,6068.6,6624.83,6565.98,5735.51,6503.79,7776.63,7377.4
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,29909.01,30221.97,32607.37,37017.74,42190.55,45339.59,43918.38,45140.77,31722.59,35392.26,42078.61,44386.79,45729.61,46865.96,41525.14,41054.54,43063.97,46722.27,45376.17,37629.17,44332.34,53707.98,52976.81
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,7168.98,2579.49,3333.15,4258.16,5086.63,5890.98,7210.6,8977.51,8184.39,10385.96,12848.74,13082.66,13080.25,12334.8,13789.06,12790.26,14613.04,11795.16,9963.67,8500.84,10650.86,13650.6,13730.51
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,676.15,765.32,910.17,1166.64,1608.16,2109.53,3064.28,3908.95,2917.37,3143.03,3462.68,3643.72,3833.16,4017.23,3666.14,3679.95,4042,4391.92,4828.5,4505.87,4972.78,7018.05,8715.77
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,,8800.73,9043.68,8832.82,8733.01,8673.93,9187.17,10019.5,12191.6,10446.86,10495.3,11920.06,12038.87,12314,13101.54,13300.82,12372.88,13195.94,13672.58,15609.78,16653.71,19673.39,
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,11513.68,11632.73,12141.6,12999.35,14319.88,16114.08,18134.27,18708.97,16401.03,15149.72,14774.03,15136.84,14977.07,15451.5,15985.54,16449.06,16803.87,18133.82,18730,15224.86,17178.54,19919.73,21560.22
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,19695.73,20301.84,23718.13,30836.73,34479.77,36595.71,41051.61,49701.28,42816.57,52147.02,62609.66,68078.04,68198.42,62558.24,56758.87,49918.79,53954.55,57273.52,55049.57,51868.25,60697.25,65077.68,64711.77
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,24558.76,26527.59,32294.05,36889.23,38417.46,40669.33,46915.34,51919.98,48153.32,46903.76,51442.28,48564.92,50731.13,51786.38,44195.82,45307.59,47429.16,51466.56,50067.59,48789.5,53517.89,52084.68,56505.97
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,703.67,763.11,883.69,1045.01,1578.37,2472.96,3851.33,5574.47,4950.4,5843.53,7189.82,7495.87,7875.35,7890.84,5500.5,3880.69,4147.2,4739.79,4805.75,4229.91,5408.05,7770.59,7155.08
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,135.61,124.14,114.37,128.54,151.19,166.28,170.71,194.71,204.54,222.66,236.45,238.21,241.55,257.82,289.36,242.54,244.15,232.06,216.97,216.83,221.16,259.03,199.58
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,23015.07,25006.19,30655.21,35429.41,36809.7,38705.11,44319.17,48303.4,44760.29,44184.95,47410.57,44670.56,46757.95,47764.07,41008.3,42012.62,44198.48,47544.98,46641.72,45587.97,51863.83,49942.09,53475.29
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,508.35,564.38,698.41,784.12,805.9,837.13,944.64,1098.95,1061.72,1009.49,1099.41,1112.57,1214.3,1251.5,1041.65,1049.82,1095.27,1194.44,1170.89,1240.73,1360.91,1304.99,1434.66
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,260.44,286.75,363.82,405.45,442.94,457.34,516.75,621.89,603.88,627.27,727.61,733.97,762.3,767.37,632.13,665.79,711.18,779.2,765.23,823.55,888.8,830.04,874.12
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,410.05,407.96,440.71,469.12,493.04,503.37,552.34,630.15,698.5,776.84,856.18,876.52,973.83,1108.52,1236.44,1659.89,1815.47,1963.31,2122.04,2233.77,2457.96,2687.9,2529.08
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,1770.91,2092.98,2719.49,3389.69,3899.83,4523.15,5888.78,7271.3,6988.27,6863.67,7857.17,7430.74,7687.71,7912.27,7078.86,7570.93,8381.88,9447.66,9874.34,10148.34,12219.34,13974.45,15797.6
